Frame	Candidate	Score
0	(0.101, 0.117)	-1438.74505839
0	(0.117, 0.21)	-1028.59553939
0	(0.101, 0.207)	-1086.99468793
0	(0.21, 0.107)	-1049.60563541
0	(0.207, 0.089)	-1121.90597251
0	(0.101, 0.107)	-1482.41015313
0	(0.101, 0.188)	-1144.17964681
0	(0.188, 0.194)	-872.146396626
0	(0.107, 0.207)	-1069.09939413
0	(0.107, 0.18)	-1151.30902361
0	(0.117, 0.207)	-1037.62098831
0	(0.188, 0.095)	-1168.30285128
0	(0.117, 0.101)	-1433.65606919
0	(0.207, 0.18)	-861.121131133
0	(0.207, 0.107)	-1060.32347224
0	(0.31, 0.107)	-840.537023715
0	(0.101, 0.21)	-1078.28127016
0	(0.107, 0.089)	-1543.69126615
0	(0.117, 0.392)	-765.898891885
0	(0.117, 0.31)	-824.103732841
0	(0.31, 0.089)	-874.186880857
0	(0.31, 0.18)	-740.525708786
0	(0.101, 0.288)	-889.173500824
0	(0.188, 0.089)	-1191.3576911
0	(0.21, 0.101)	-1069.15632964
0	(0.21, 0.188)	-836.005010543
0	(0.117, 0.288)	-858.341056983
0	(0.207, 0.089, 0.095)	-893.210569786
0	(0.101, 0.188, 0.194)	-764.25667689
0	(0.117, 0.101, 0.188)	-849.252909548
0	(0.101, 0.288, 0.089)	-795.842051934
0	(0.117, 0.288, 0.089)	-770.200661936
0	(0.117, 0.392, 0.188)	-562.873268647
0	(0.21, 0.101, 0.207)	-689.148901882
0	(0.101, 0.107, 0.089)	-1143.06254935
0	(0.207, 0.18, 0.191)	-633.059003034
0	(0.21, 0.107, 0.089)	-860.414527051
0	(0.117, 0.207, 0.089)	-858.111586434
0	(0.31, 0.089, 0.194)	-634.023274979
0	(0.21, 0.107, 0.207)	-679.013492737
0	(0.117, 0.21, 0.107)	-829.193523887
0	(0.207, 0.18, 0.103)	-747.965730374
0	(0.107, 0.207, 0.117)	-831.680212866
0	(0.207, 0.107, 0.281)	-621.554618166
0	(0.21, 0.188, 0.095)	-746.265658022
0	(0.117, 0.288, 0.188)	-654.491102895
0	(0.21, 0.101, 0.382)	-587.708831196
0	(0.188, 0.095, 0.18)	-789.190216467
0	(0.117, 0.101, 0.107)	-1053.65723129
0	(0.188, 0.194, 0.126)	-712.418048659
0	(0.188, 0.194, 0.094)	-782.061053166
0	(0.207, 0.107, 0.188)	-716.34363965
0	(0.101, 0.117, 0.486)	-594.892600071
0	(0.188, 0.089, 0.28)	-644.810241963
0	(0.107, 0.089, 0.095)	-1166.55314067
0	(0.31, 0.18, 0.191)	-555.314377343
0	(0.117, 0.207, 0.18)	-719.710960737
0	(0.207, 0.18, 0.095)	-764.294449965
0	(0.117, 0.21, 0.188)	-699.622646852
0	(0.101, 0.107, 0.18)	-888.224957794
0	(0.188, 0.095, 0.191)	-781.523704341
0	(0.188, 0.194, 0.103)	-759.538534736
0	(0.117, 0.392, 0.095)	-662.353826533
0	(0.188, 0.089, 0.207)	-759.238273243
0	(0.117, 0.31, 0.18)	-644.193560474
0	(0.207, 0.089, 0.194)	-743.868506195
0	(0.31, 0.18, 0.095)	-643.273367694
0	(0.107, 0.207, 0.382)	-582.70468373
0	(0.188, 0.095, 0.103)	-901.556070969
0	(0.31, 0.089, 0.095)	-748.527503139
0	(0.101, 0.117, 0.31)	-682.712821826
0	(0.101, 0.207, 0.18)	-754.379636244
0	(0.21, 0.107, 0.18)	-727.489483631
0	(0.107, 0.089, 0.285)	-773.101921581
0	(0.31, 0.107, 0.281)	-543.809992475
0	(0.117, 0.101, 0.281)	-732.199634295
0	(0.107, 0.18, 0.191)	-775.4197558
0	(0.207, 0.107, 0.21)	-678.841466112
0	(0.117, 0.392, 0.089)	-675.232647634
0	(0.31, 0.107, 0.188)	-629.687624228
0	(0.101, 0.288, 0.194)	-649.632744193
0	(0.21, 0.101, 0.288)	-619.868084848
0	(0.207, 0.089, 0.188)	-757.136401172
0	(0.101, 0.107, 0.28)	-756.709325398
0	(0.101, 0.21, 0.31)	-622.06190538
0	(0.117, 0.207, 0.107)	-832.834536981
0	(0.31, 0.107, 0.101)	-709.105875605
0	(0.107, 0.18, 0.103)	-889.521878026
0	(0.107, 0.207, 0.288)	-622.65056352
0	(0.107, 0.089, 0.194)	-885.683953161
0	(0.117, 0.21, 0.281)	-621.817870613
0	(0.117, 0.31, 0.089)	-738.42379234
0	(0.101, 0.188, 0.089)	-915.823303389
0	(0.101, 0.117, 0.392)	-629.768574011
0	(0.101, 0.207, 0.089)	-885.890991137
0	(0.107, 0.18, 0.095)	-906.120309524
0	(0.101, 0.207, 0.28)	-625.996311837
0	(0.117, 0.31, 0.107)	-709.243408699
0	(0.101, 0.21, 0.392)	-581.818669164
0	(0.21, 0.188, 0.194)	-629.788119399
0	(0.117, 0.288, 0.095)	-758.570117865
