instance,epoch,link0,link1,link2,link3,link4,link5
arm_0,1,5500,6500,0.0,0.0,0.0,0.0
arm_1,1,3000,5500,0.0,0.0,0.0,0.0
arm_2,1,6000,7000,0.0,0.0,0.0,0.0
arm_3,1,4500,3000,0.0,0.0,0.0,0.0
arm_4,1,6000,6000,0.0,0.0,0.0,0.0
arm_5,1,1000,6500,0.0,0.0,0.0,0.0
arm_6,1,5000,5000,0.0,0.0,0.0,0.0
arm_7,1,5500,1500,0.0,0.0,0.0,0.0
arm_8,1,2000,2000,0.0,0.0,0.0,0.0
arm_9,1,4000,7000,0.0,0.0,0.0,0.0
arm_10,1,4500,1500,0.0,0.0,0.0,0.0
arm_11,1,2000,2500,0.0,0.0,0.0,0.0
arm_12,1,2000,6500,0.0,0.0,0.0,0.0
arm_13,1,7000,6000,0.0,0.0,0.0,0.0
arm_14,1,6000,4000,0.0,0.0,0.0,0.0
arm_15,1,7000,3500,0.0,0.0,0.0,0.0
arm_16,1,2000,4500,0.0,0.0,0.0,0.0
arm_17,1,2000,5000,0.0,0.0,0.0,0.0
arm_18,1,4000,3500,0.0,0.0,0.0,0.0
arm_19,1,4500,1500,0.0,0.0,0.0,0.0
arm_20,1,5000,4000,0.0,0.0,0.0,0.0
arm_21,1,5500,4000,0.0,0.0,0.0,0.0
arm_22,1,1500,2500,0.0,0.0,0.0,0.0
arm_23,1,6000,3500,0.0,0.0,0.0,0.0
arm_24,1,5000,2500,0.0,0.0,0.0,0.0
arm_25,1,6500,1500,0.0,0.0,0.0,0.0
arm_26,1,7000,2500,0.0,0.0,0.0,0.0
arm_27,1,6000,4500,0.0,0.0,0.0,0.0
arm_28,1,4500,7000,0.0,0.0,0.0,0.0
arm_29,1,2500,3500,0.0,0.0,0.0,0.0
arm_30,1,3000,3500,0.0,0.0,0.0,0.0
arm_31,1,3000,6500,0.0,0.0,0.0,0.0
arm_32,1,7000,2000,0.0,0.0,0.0,0.0
arm_33,1,2000,4500,0.0,0.0,0.0,0.0
arm_34,1,3500,2500,0.0,0.0,0.0,0.0
arm_35,1,7000,7000,0.0,0.0,0.0,0.0
arm_36,1,4000,4500,0.0,0.0,0.0,0.0
arm_37,1,7000,6000,0.0,0.0,0.0,0.0
arm_38,1,5000,4500,0.0,0.0,0.0,0.0
arm_39,1,6000,6000,0.0,0.0,0.0,0.0
arm_40,1,6500,5500,0.0,0.0,0.0,0.0
arm_41,1,3000,3000,0.0,0.0,0.0,0.0
arm_42,1,5500,1000,0.0,0.0,0.0,0.0
arm_43,1,4000,1000,0.0,0.0,0.0,0.0
arm_44,1,1500,6000,0.0,0.0,0.0,0.0
arm_45,1,5000,2500,0.0,0.0,0.0,0.0
arm_46,1,5000,5000,0.0,0.0,0.0,0.0
arm_47,1,3000,7000,0.0,0.0,0.0,0.0
arm_48,1,3000,1000,0.0,0.0,0.0,0.0
arm_49,1,5500,6500,0.0,0.0,0.0,0.0
arm_50,1,6500,6000,0.0,0.0,0.0,0.0
arm_51,1,6000,4500,0.0,0.0,0.0,0.0
arm_52,1,6000,2500,0.0,0.0,0.0,0.0
arm_53,1,4500,3000,0.0,0.0,0.0,0.0
arm_54,1,6000,4000,0.0,0.0,0.0,0.0
arm_55,1,4500,3500,0.0,0.0,0.0,0.0
arm_56,1,6500,7000,0.0,0.0,0.0,0.0
arm_57,1,6500,3000,0.0,0.0,0.0,0.0
arm_58,1,1500,5500,0.0,0.0,0.0,0.0
arm_59,1,5500,6500,0.0,0.0,0.0,0.0
arm_60,1,6000,1000,0.0,0.0,0.0,0.0
arm_61,1,5500,7000,0.0,0.0,0.0,0.0
arm_62,1,6500,1500,0.0,0.0,0.0,0.0
arm_63,1,3000,4500,0.0,0.0,0.0,0.0
arm_64,1,7000,4000,0.0,0.0,0.0,0.0
arm_65,1,5500,5500,0.0,0.0,0.0,0.0
arm_66,1,1500,6500,0.0,0.0,0.0,0.0
arm_67,1,1000,4000,0.0,0.0,0.0,0.0
arm_68,1,4000,3000,0.0,0.0,0.0,0.0
arm_69,1,1500,1000,0.0,0.0,0.0,0.0
arm_70,1,6500,5000,0.0,0.0,0.0,0.0
arm_71,1,4000,4500,0.0,0.0,0.0,0.0
arm_72,1,2000,2500,0.0,0.0,0.0,0.0
arm_73,1,7000,3000,0.0,0.0,0.0,0.0
arm_74,1,3500,6000,0.0,0.0,0.0,0.0
arm_75,1,5500,6000,0.0,0.0,0.0,0.0
arm_76,1,3500,5500,0.0,0.0,0.0,0.0
arm_77,1,4500,3500,0.0,0.0,0.0,0.0
arm_78,1,5500,7000,0.0,0.0,0.0,0.0
arm_79,1,5500,1000,0.0,0.0,0.0,0.0
arm_80,1,5500,7000,0.0,0.0,0.0,0.0
arm_81,1,5500,4500,0.0,0.0,0.0,0.0
arm_82,1,5000,3000,0.0,0.0,0.0,0.0
arm_83,1,1500,3500,0.0,0.0,0.0,0.0
arm_84,1,2500,7000,0.0,0.0,0.0,0.0
arm_85,1,2000,6500,0.0,0.0,0.0,0.0
arm_86,1,1500,6500,0.0,0.0,0.0,0.0
arm_87,1,2000,1000,0.0,0.0,0.0,0.0
arm_88,1,7000,6000,0.0,0.0,0.0,0.0
arm_89,1,5500,7000,0.0,0.0,0.0,0.0
arm_90,1,1000,5500,0.0,0.0,0.0,0.0
arm_91,1,6500,4000,0.0,0.0,0.0,0.0
arm_92,1,6000,5000,0.0,0.0,0.0,0.0
arm_93,1,5500,2000,0.0,0.0,0.0,0.0
arm_94,1,3500,1500,0.0,0.0,0.0,0.0
arm_95,1,5000,1500,0.0,0.0,0.0,0.0
arm_96,1,1500,2000,0.0,0.0,0.0,0.0
arm_97,1,3500,2000,0.0,0.0,0.0,0.0
arm_98,1,3000,1000,0.0,0.0,0.0,0.0
arm_99,1,2000,6500,0.0,0.0,0.0,0.0
arm_100,1,3500,1000,0.0,0.0,0.0,0.0
arm_101,1,1500,5000,0.0,0.0,0.0,0.0
arm_102,1,5500,3500,0.0,0.0,0.0,0.0
arm_103,1,1000,3000,0.0,0.0,0.0,0.0
arm_104,1,4500,1000,0.0,0.0,0.0,0.0
arm_105,1,2000,3000,0.0,0.0,0.0,0.0
arm_106,1,5000,1500,0.0,0.0,0.0,0.0
arm_107,1,2000,4000,0.0,0.0,0.0,0.0
arm_108,1,2000,1000,0.0,0.0,0.0,0.0
arm_109,1,4000,3000,0.0,0.0,0.0,0.0
arm_110,1,3500,7000,0.0,0.0,0.0,0.0
arm_111,1,4000,3000,0.0,0.0,0.0,0.0
arm_112,1,4500,2000,0.0,0.0,0.0,0.0
arm_113,1,3500,4500,0.0,0.0,0.0,0.0
arm_114,1,6500,1000,0.0,0.0,0.0,0.0
arm_115,1,2500,1500,0.0,0.0,0.0,0.0
arm_116,1,3000,3500,0.0,0.0,0.0,0.0
arm_117,1,5000,5500,0.0,0.0,0.0,0.0
arm_118,1,6500,6500,0.0,0.0,0.0,0.0
arm_119,1,6000,1000,0.0,0.0,0.0,0.0
arm_120,1,5500,3500,0.0,0.0,0.0,0.0
arm_121,1,3500,1500,0.0,0.0,0.0,0.0
arm_122,1,5000,2500,0.0,0.0,0.0,0.0
arm_123,1,2000,6000,0.0,0.0,0.0,0.0
arm_124,1,4000,2000,0.0,0.0,0.0,0.0
arm_125,1,5000,1000,0.0,0.0,0.0,0.0
arm_126,1,1000,6500,0.0,0.0,0.0,0.0
arm_127,1,3500,7000,0.0,0.0,0.0,0.0
arm_128,1,6000,2500,0.0,0.0,0.0,0.0
arm_129,1,7000,4500,0.0,0.0,0.0,0.0
arm_130,1,7000,5000,0.0,0.0,0.0,0.0
arm_131,1,7000,6500,0.0,0.0,0.0,0.0
arm_132,1,7000,5500,0.0,0.0,0.0,0.0
arm_133,1,5000,1000,0.0,0.0,0.0,0.0
arm_134,1,1500,5000,0.0,0.0,0.0,0.0
arm_135,1,4000,2000,0.0,0.0,0.0,0.0
arm_136,1,2500,1000,0.0,0.0,0.0,0.0
arm_137,1,2000,2000,0.0,0.0,0.0,0.0
arm_138,1,6000,3000,0.0,0.0,0.0,0.0
arm_139,1,4000,2000,0.0,0.0,0.0,0.0
arm_140,1,3000,3000,0.0,0.0,0.0,0.0
arm_141,1,7000,5500,0.0,0.0,0.0,0.0
arm_142,1,3500,1000,0.0,0.0,0.0,0.0
arm_143,1,2000,2000,0.0,0.0,0.0,0.0
arm_144,1,3500,5000,0.0,0.0,0.0,0.0
arm_145,1,2000,3000,0.0,0.0,0.0,0.0
arm_146,1,1000,1500,0.0,0.0,0.0,0.0
arm_147,1,2500,1500,0.0,0.0,0.0,0.0
arm_148,1,5500,6500,0.0,0.0,0.0,0.0
arm_149,1,5500,4500,0.0,0.0,0.0,0.0
arm_150,1,2500,1000,0.0,0.0,0.0,0.0
arm_151,1,3000,7000,0.0,0.0,0.0,0.0
arm_152,1,6000,5000,0.0,0.0,0.0,0.0
arm_153,1,3000,4000,0.0,0.0,0.0,0.0
arm_154,1,1000,1500,0.0,0.0,0.0,0.0
arm_155,1,4000,3000,0.0,0.0,0.0,0.0
arm_156,1,5000,3000,0.0,0.0,0.0,0.0
arm_157,1,2000,3500,0.0,0.0,0.0,0.0
arm_158,1,3000,6500,0.0,0.0,0.0,0.0
arm_159,1,5000,5000,0.0,0.0,0.0,0.0
arm_160,1,3500,2500,0.0,0.0,0.0,0.0
arm_161,1,2000,3000,0.0,0.0,0.0,0.0
arm_162,1,5500,3000,0.0,0.0,0.0,0.0
arm_163,1,6500,5000,0.0,0.0,0.0,0.0
arm_164,1,2000,5500,0.0,0.0,0.0,0.0
arm_165,1,5500,2500,0.0,0.0,0.0,0.0
arm_166,1,4500,4500,0.0,0.0,0.0,0.0
arm_167,1,5500,5000,0.0,0.0,0.0,0.0
arm_168,1,2500,3000,0.0,0.0,0.0,0.0
arm_169,1,1500,6500,0.0,0.0,0.0,0.0
arm_170,1,7000,1000,0.0,0.0,0.0,0.0
arm_171,1,5000,6500,0.0,0.0,0.0,0.0
arm_172,1,6000,6000,0.0,0.0,0.0,0.0
arm_173,1,1000,2000,0.0,0.0,0.0,0.0
arm_174,1,1000,3000,0.0,0.0,0.0,0.0
arm_175,1,6500,3000,0.0,0.0,0.0,0.0
arm_176,1,5000,6500,0.0,0.0,0.0,0.0
arm_177,1,2000,2000,0.0,0.0,0.0,0.0
arm_178,1,2000,4000,0.0,0.0,0.0,0.0
arm_179,1,2500,4000,0.0,0.0,0.0,0.0
arm_180,1,5000,7000,0.0,0.0,0.0,0.0
arm_181,1,1000,7000,0.0,0.0,0.0,0.0
arm_182,1,4000,6000,0.0,0.0,0.0,0.0
arm_183,1,1500,7000,0.0,0.0,0.0,0.0
arm_184,1,6500,2500,0.0,0.0,0.0,0.0
arm_185,1,1000,1000,0.0,0.0,0.0,0.0
arm_186,1,1500,3000,0.0,0.0,0.0,0.0
