epoch, total loss
1,117174017.891
2,114255771.016
3,111499585.93
4,108872934.688
5,106477027.914
6,104285173.867
7,102313603.219
8,100542325.477
9,98975651.1484
10,97752960.0938
11,90541422.2266
12,85192335.0469
13,80355469.9395
14,75845106.7852
15,71758270.7539
16,67997526.2812
17,64559690.0518
18,61471566.2305
19,58811519.9883
20,56449126.9688
21,54072161.4277
22,52227684.959
23,50339708.1025
24,48743276.521
25,47394055.4087
26,46170264.3638
27,45104601.1172
28,44097718.1895
29,43196954.4297
30,42464342.3135
31,41777186.6953
32,41018303.9307
33,40498128.6084
34,39916825.1777
35,39572091.6895
36,38920327.7695
37,38392262.7246
38,38154150.5332
39,37581919.04
40,37477782.5195
41,36952605.8179
42,36630903.835
43,36372663.3545
44,36171943.8008
45,36134131.6328
46,35560823.8945
47,35382738.1631
48,35295974.2598
49,35020506.0449
50,34950496.0293
51,34671979.938
52,34486375.8115
53,34297586.3223
54,34286465.2871
55,34106155.8105
56,34129238.2402
57,33884086.6152
58,33750680.9258
59,33630622.7812
60,33609983.5752
61,33448012.8184
62,33289500.3481
63,33227322.2227
64,33469419.2061
65,33012129.9834
66,32944024.002
67,32924594.6758
68,32797260.6367
69,32811119.5449
70,32637522.6582
71,32539937.5039
72,32304366.7783
73,32235262.9282
74,32006365.292
75,31956048.0664
76,32011062.7925
77,31647914.4924
78,31657874.3135
79,31492209.7134
80,30947058.9189
81,31821171.2656
82,30971584.8667
83,31105578.4802
84,31199161.0962
85,30957167.0688
86,30913926.6143
87,30435239.5386
88,29784306.8433
89,29820336.4004
90,29701060.835
91,30177066.4785
92,30046834.8428
93,29441143.75
94,29697218.4951
95,29216630.4395
96,29608062.918
97,29113657.6924
98,29195500.9111
99,28782977.2383
100,27976888.3311
101,28664386.2578
102,29276764.5938
103,28833640.6279
104,28145134.541
105,27912306.4316
106,28435499.7876
107,27551371.1328
108,28496550.1855
109,27142864.5039
110,27359348.7246
111,27210932.6572
112,26770456.2744
113,26569350.876
114,27150359.4883
115,27314310.6084
116,26603844.041
117,26422487.7793
118,27397101.4082
119,27829709.9375
120,28033210.6543
121,26290492.2334
122,26519537.8652
123,26858083.4043
124,27441197.9082
125,26309425.0762
126,25870891.3066
127,26601596.5879
128,25808688.3486
129,26783587.6934
130,26635870.1875
131,26504297.7988
132,25994245.7832
133,25245597.7793
134,25169224.5078
135,25839982.2412
136,26355507.8242
137,26728155.1641
138,25693753.582
139,26402657.2256
140,26091574.0586
141,25839585.9385
142,24543505.2686
143,24721212.4619
144,23889577.2891
145,25179061.2529
146,25102382.3945
147,24300235.3965
148,25043092.4507
149,24113115.876
150,24917924.292
151,22911104.9863
152,23944082.5498
153,24612026.5127
154,25240264.5938
155,24088079.3027
156,23464840.5762
157,25586798.2939
158,24649213.3525
159,24130767.7725
160,23919090.501
161,24302868.769
162,23812504.4233
163,25186478.0186
164,24833494.8555
165,25759151.8994
166,25459094.4141
167,24955334.2051
168,24238569.6602
169,23132906.4629
170,23103400.8779
171,25069752.5361
172,23766892.209
173,24613470.9922
174,24435812.4082
175,25052986.3223
176,23750622.0576
177,24892501.0771
178,24594194.2705
179,25781363.8867
180,25245438.7676
181,25364780.376
