epoch, total loss
1,146751633.234
2,139228810.203
3,131794489.203
4,124575953.812
5,117609605.664
6,111001735.086
7,104700922.965
8,99060315.3594
9,94064179.4141
10,89680724.5117
11,85861708.3672
12,82581911.8398
13,79769580.0938
14,77393344.4062
15,75403212.3867
16,73749980.8477
17,70400063.7891
18,68258413.6953
19,66587228.3516
20,65920170.9258
21,64232014.0117
22,62880766.6406
23,61951819.7188
24,61026713.3633
25,60181591.9922
26,59601618.9922
27,58922681.0352
28,58385372.2969
29,57951663.3867
30,57394135.3242
31,57024263.5742
32,56649851.4883
33,56423056.6602
34,56021294.5703
35,55789045.9023
36,55532098.3438
37,55327358.082
38,55186644.3789
39,54947642.4844
40,54928168.875
41,54666289.3242
42,54606273.0938
43,54560159.1055
44,54307172.3672
45,54166698.6797
46,53996440.9004
47,54021081.3633
48,54078565.0977
49,53840863.0254
50,53734064.1543
51,53788118.6309
52,53639628.3096
53,53558747.334
54,53555450.5586
55,53456444.3486
56,53450966.6172
57,53401762.5879
58,53397060.3477
59,53380856.3047
60,53305333.5527
61,53296538.0312
62,53248263.4844
63,53139700.0371
64,53125394.5352
65,53091921.9023
66,53091920.1641
67,53189675.9141
68,53153873.8223
69,53053727.8926
70,53092439.375
71,53049302.5859
72,53123790.9531
73,53147437.8027
74,53014328.2129
75,53021027.46
76,53122811.8379
77,53105040.3027
78,52934667.6777
79,52887560.3188
80,53079957.3086
81,52975223.2734
82,52974499.7627
83,52918598.6504
84,52924918.3848
85,52914566.1562
86,52871148.2441
87,52841013.6035
88,52908762.6406
89,53072363.1758
90,52928561.0332
91,52993974.1416
92,52922519.876
93,53087491.0117
94,52913614.0508
95,52905810.8789
96,52917502.3945
97,52825430.2168
98,53003392.625
99,52890694.0312
100,52847377.6592
