instance,epoch,link0,link1,link2,link3,link4,link5
arm_0,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_1,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_2,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_3,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_4,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_5,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_6,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_7,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_8,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_9,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_10,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_11,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_12,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_13,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_14,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_15,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_16,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_17,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_18,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_19,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_20,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_21,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_22,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_23,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_24,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_25,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_26,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_27,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_28,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_29,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_30,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_31,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_32,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_33,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_34,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_35,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_36,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_37,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_38,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_39,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_40,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_41,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_42,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_43,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_44,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_45,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_46,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_47,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_48,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_49,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_50,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_51,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_52,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_53,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_54,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_55,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_56,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_57,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_58,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_59,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_60,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_61,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_62,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_63,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_64,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_65,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_66,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_67,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_68,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_69,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_70,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_71,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_72,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_73,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_74,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_75,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_76,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_77,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_78,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_79,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_80,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_81,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_82,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_83,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_84,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_85,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_86,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_87,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_88,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_89,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_90,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_91,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_92,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_93,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_94,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_95,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_96,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_97,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_98,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_99,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_100,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_101,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_102,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_103,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_104,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_105,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_106,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_107,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_108,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_109,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_110,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_111,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_112,1,272.334,276.333,254.812,278.858,268.18,266.507
arm_113,1,272.334,276.333,254.812,278.858,268.18,266.507
