	1 layers,  20 nodes/layer	1 layers,  60 nodes/layer	1 layers,  100 nodes/layer	1 layers,  140 nodes/layer	1 layers,  180 nodes/layer	2 layers,  20 nodes/layer	2 layers,  60 nodes/layer	2 layers,  100 nodes/layer	2 layers,  140 nodes/layer	2 layers,  180 nodes/layer	3 layers,  20 nodes/layer	3 layers,  60 nodes/layer	3 layers,  140 nodes/layer	3 layers,  180 nodes/layer
0.0	852532910.461	834375772.188	815882820.508	798499509.75	781315312.531	836984391.398	781971313.438	743453556.617	752280606.531	682836825.453	842547245.312	785135057.828	698285845.797	685434336.141
1.0	841688833.969	806583657.758	772112412.914	741624205.922	712569107.781	813775807.5	715931461.008	656837805.625	685572237.617	590180517.352	824614623.562	720497278.977	595201615.828	596687778.422
2.0	831009299.734	779626473.18	732712700.0	692514796.93	656835297.43	791618827.273	660938727.648	595187854.898	582743553.883	548575067.211	807864257.281	665711868.891	530480531.211	550668460.945
3.0	820535520.062	754307990.328	696546810.172	650682816.805	612924573.062	770545867.633	616646469.5	552432892.617	520767378.062	526860102.719	792266688.953	621281472.234	495200246.242	532254174.488
4.0	810217388.859	730246647.281	665230039.367	615907156.656	577053411.25	750582605.461	578594048.148	525168653.641	483639688.094	517817576.375	777784184.797	583823474.336	470851855.621	523323617.875
5.0	800370487.984	708530336.844	636683662.641	586797755.266	549752351.18	731745994.383	549603399.859	507492551.918	461152508.703	510047341.752	764373416.609	554453515.352	455390304.848	517321017.027
6.0	790468351.984	688409569.688	612394667.328	562948046.0	528744574.727	714046552.188	526868693.883	495159939.434	446892597.727	505535301.695	751989534.5	531922408.484	444114211.875	512699066.041
7.0	780902252.93	668608032.891	590470901.734	543188842.992	512847965.617	697489268.07	509159710.93	486234830.457	438221599.113	501069937.525	740586056.0	514355913.188	435720122.301	509963247.404
8.0	771652645.133	650953847.016	571758809.742	526986101.883	499952419.156	682073542.82	495375147.109	479569019.258	429742258.211	497457943.896	730116440.297	500781674.984	428458386.578	505940450.832
9.0	762509283.164	634611832.844	556150426.922	513688155.586	489569452.852	667788827.477	483928458.227	474089640.496	424565265.974	493953793.572	720533729.359	489884014.078	423090545.499	502574341.898
10.0	754133548.914	620011164.875	541764975.031	503716068.391	482153616.094	654616179.039	474704565.992	469746296.527	420409025.707	491223413.275	711792123.375	481243934.051	418725651.324	500720579.1
11.0	744911038.32	606071092.984	530260512.328	495155110.125	475148196.047	642528339.219	466588987.379	466313173.621	416755604.887	489386821.605	703943846.812	473740125.922	414408285.618	498899419.598
12.0	736411286.766	592901296.047	520156781.273	488440173.586	469388614.43	631490610.141	459603178.844	462909323.891	413784508.084	487725895.141	694808233.625	467122783.598	411936462.072	497084959.029
13.0	728060503.664	581108933.211	511341511.258	482489113.695	464130223.617	620391062.117	453605606.266	460086322.549	410144878.146	485697004.719	677692256.797	461835092.758	409094329.091	495979041.64
14.0	720021244.781	570508027.984	503651425.875	477285352.945	459037675.84	610227661.477	448280505.945	458054730.707	409183948.029	483488562.449	661025680.969	457166215.629	406761847.852	494771143.452
15.0	712174728.477	560326992.656	497739023.516	472937036.727	455096650.133	601191902.273	443927399.391	455872700.023	406351922.992	483236971.318	645017841.852	452763504.791	405769071.714	494272650.021
16.0	703937195.867	551597722.719	492594987.602	468760128.5	451424727.773	592923068.406	439856361.992	454854596.863	406050971.094	481038639.855	630015920.211	449089893.016	402716577.254	493587822.617
17.0	696432529.5	543072684.891	487583884.367	465092949.148	447399567.59	585481576.25	436313799.359	453355921.383	403479639.551	481013151.783	616019511.367	445685547.193	401122470.46	492754214.314
18.0	688997439.938	535906230.219	483538529.875	461528889.188	443973543.723	578726105.023	432924473.703	451634639.17	402410274.93	479385885.766	602821747.992	442550056.582	399867799.197	491361461.937
19.0	681986607.82	529016431.117	479572924.414	458400860.586	440597702.723	572702491.223	430027252.598	451346642.375	400889896.172	479653495.746	590467494.938	440178749.133	397725617.838	490806624.406
20.0	674869918.227	523405246.844	476372600.164	454808545.734	437925695.699	567179313.668	427415448.336	450489786.537	399938697.948	477899795.799	578876552.797	437421115.662	396518839.744	490834046.775
21.0	668052007.211	518289658.727	472897004.766	452180024.086	435244130.312	562074653.859	424735921.152	449508765.068	398306448.419	477688574.537	568164735.891	435132175.289	395779978.908	489401225.613
22.0	660723230.469	512381087.555	469923963.211	449506799.867	433024200.379	557661247.695	422301336.152	449692818.223	397715086.926	477178383.21	558065268.648	434128679.189	395966761.256	488325646.51
23.0	654942340.227	507438352.203	467831070.039	446183127.281	430592384.492	553575450.582	420453498.449	447975470.64	397775183.819	475171763.25	548633395.266	431788853.016	395095808.781	486525906.314
24.0	648279678.969	503176030.992	464596941.453	444512175.57	428242310.254	549803440.141	418579229.666	448614439.6	396134476.508	474995371.43	540130418.344	430317248.03	392393404.381	486542599.796
25.0	642466918.367	499226569.906	461878720.539	441855969.508	426254708.238	546441912.73	416957872.562	448747961.902	395789243.207	473796826.865	531808471.609	428696069.68	392753572.355	484518174.152
26.0	636068352.992	495979811.016	459572395.68	439515960.5	424812218.805	543425495.328	415658989.566	447830706.187	395433464.009	473554694.877	524381246.07	426636977.729	392247171.207	484550411.52
