True Length	Predicted Length
6480.74069841	5987.30799275
7228.4161474	7884.17972905
6224.94979899	7802.34234061
7697.40215917	6841.67435647
7810.24967591	7994.73989571
7952.98686029	7377.27659777
8062.2577483	6436.74047947
5916.0797831	5459.09085838
6614.37827766	7113.29297864
7952.98686029	7516.67932002
7314.36941916	8765.22332859
7968.68872525	7260.44778233
8077.7472107	7559.86124211
6633.24958071	8116.62565356
8902.24690738	7187.87159039
6184.65843843	8556.53376082
6855.6546004	7581.74425841
8276.47267862	8288.08421772
6708.2039325	5340.99925108
7615.77310586	6074.746826
6264.98204307	8242.99448016
7905.69415042	6571.9215607
7905.69415042	6484.02961128
7228.4161474	6984.0703032
7141.42842854	7911.89484258
8845.90300648	7505.97788433
7952.98686029	8205.17726804
5522.68050859	6592.95426952
9682.45836552	9721.79859902
5123.47538298	4795.97378016
8573.21409974	8318.38686285
7648.52927039	7513.59887138
9367.4969976	8828.78598676
5408.3269132	5577.75286294
6670.83203206	7128.02532263
6576.47321898	7568.27562923
7088.72343938	7671.3426465
7331.43914931	7022.62315663
7697.40215917	7095.23142681
8381.52730712	7916.16397
6873.86354243	6009.09535621
5074.44578255	5631.09225639
6763.87462923	7217.82224774
7984.35971134	8247.5881323
8046.73846972	7063.60778922
8972.17922246	8444.23720652
7449.83221288	8442.0182421
8154.75321515	8050.82368457
9552.48658727	7608.91858282
7566.37297521	8320.52426233
7088.72343938	7081.25109003
7176.3500472	7388.96650419
7582.87544405	7607.48604994
7842.19357068	7657.90075673
8774.96438739	8891.44397722
9192.38815543	7647.6113918
6363.96103068	6711.24302942
7905.69415042	8765.06999402
6595.45297914	7027.35810956
7921.48975888	7991.95670659
7228.4161474	8965.97557436
6595.45297914	6860.60879223
5385.16480713	4320.59295699
7106.33520178	8235.44461459
7729.81241687	9574.88381131
10012.4921973	8928.65152193
7889.86691903	7101.23975092
6344.28877022	6163.71681699
6184.65843843	7707.83406671
9899.49493661	8519.12730272
7762.08734813	7056.34763883
4555.21678957	6102.37289913
6519.2024052	5293.18561927
6873.86354243	6758.16809498
7794.22863406	9511.38055174
9219.54445729	7751.559327
6819.09084849	8298.45467542
5408.3269132	4917.76712543
5454.35605732	6827.22249528
8200.60973343	7731.4170758
5894.91306128	5473.85860249
7826.23792125	8120.81141266
5787.9184514	5186.54981659
8902.24690738	6853.79391286
8381.52730712	7528.76789389
6745.36878162	7312.99364146
8261.35582093	7213.02135031
6726.81202354	6413.74890372
8845.90300648	9156.7936528
7314.36941916	7788.60796292
6500.0	4732.76885132
9643.65076099	9721.20609801
8215.83836258	8232.65412853
6557.4385243	6528.1790723
9924.71662064	9721.1229804
7433.03437366	5893.13727992
7176.3500472	7916.06354194
8660.25403784	7801.34962683
5937.17104352	5247.56581664
6800.73525437	5904.5148827
7566.37297521	7260.39365324
7106.33520178	6774.81520043
8616.84396981	8406.58135035
7566.37297521	7205.93102937
7449.83221288	9307.68306293
8046.73846972	8241.18207541
8170.06731918	7654.27410014
8689.07359849	8349.14977707
9027.73504263	8349.58537893
7500.0	7649.03784799
7000.0	6526.4028377
6782.32998313	9073.65185579
7382.41153012	7179.97980499
6403.12423743	5335.71063683
4873.3971724	5243.28646938
8930.28554975	9721.78543273
8062.2577483	7683.55698879
7778.17459305	6631.69005609
5172.04021639	4809.83773115
9340.77084613	8139.70441724
8200.60973343	8698.44698782
6800.73525437	7802.96533377
8845.90300648	7132.14603047
8514.69318296	8220.62077948
8902.24690738	7704.0852799
7889.86691903	6449.12614235
6689.54408013	5656.74667985
5590.16994375	5661.58661508
7952.98686029	9495.99873631
8062.2577483	6504.67055276
6982.12002188	7216.9759595
8558.62138431	8317.78095408
7141.42842854	6410.51246001
7778.17459305	6531.66510164
7331.43914931	7929.66064848
5545.2682532	5528.690713
7280.10988928	8874.80602605
8396.42781187	8235.54005515
8689.07359849	8391.63142661
8139.41029805	6560.21036248
4358.89894354	4078.58032899
7123.90342439	8309.05879146
7141.42842854	7846.23055996
6164.41400297	4828.03376127
7729.81241687	9391.70900316
9785.19289539	9281.69273355
7566.37297521	6627.95677415
8902.24690738	7668.00639019
8874.11967465	8569.71376418
7968.68872525	8957.32381909
5522.68050859	5612.17774131
8139.41029805	6440.40472331
8139.41029805	6626.93684895
8366.60026534	8561.98551739
5590.16994375	5298.74532319
8902.24690738	7287.58066851
6442.04936336	6567.9923112
7382.41153012	6732.44784607
6892.02437605	8597.96999297
5147.81507049	5963.40716369
9656.60395791	8728.13347744
7228.4161474	6746.62678677
7533.25958666	7008.2576294
7905.69415042	6707.21551763
7745.96669241	8359.96937793
8544.00374532	9501.26980987
9552.48658727	7751.56087508
7262.91952317	6502.3535739
7365.45993133	6499.16402316
6422.61628933	5920.15979514
7176.3500472	8379.35976075
7762.08734813	6544.41051585
9708.24391947	9340.70115141
6689.54408013	6749.9339256
7778.17459305	6813.15705088
8514.69318296	9649.09840348
5074.44578255	5105.1818283
8958.23643358	9108.37131435
9192.38815543	7648.03726455
7141.42842854	7830.68541061
6103.27780787	6998.79782534
8746.42784227	8246.04596155
7433.03437366	6520.65525848
8602.32526704	6932.97180147
7889.86691903	8299.91373449
7466.59226153	6807.9681991
8958.23643358	7827.77107483
9340.77084613	9111.12111653
5852.34995536	5799.67249075
7123.90342439	6696.33481839
4924.4289009	5690.99587067
9192.38815543	9721.85959578
8336.66600027	7866.82413684
8485.28137424	7481.91927249
8514.69318296	7202.73170401
7500.0	6489.85585356
7399.32429347	8282.59488325
6873.86354243	5729.49596387
8514.69318296	7010.04072741
7365.45993133	7790.12541619
7433.03437366	6390.89680718
6123.72435696	6003.09886642
7158.91053164	4914.49748194
8902.24690738	6941.31205177
7433.03437366	6611.57953896
5147.81507049	5993.36107706
8817.59604427	8898.80171709
7566.37297521	7879.66725186
7348.46922835	8359.62810178
7794.22863406	7180.06392729
5099.01951359	4867.39175534
8031.1892021	8231.16674597
7141.42842854	8821.38673906
7500.0	7022.81937686
6144.10286372	6597.07980852
6652.06734783	4655.77480125
5937.17104352	5463.75200755
9552.48658727	7707.47533243
