Epoch	Epoch Train cost	Epoch Test cost	1/Epoch Test cost
0	1938269.49	2208726.0625	4.52749671848e-07
1	1928637.74	2204107.9375	4.53698288993e-07
2	1925689.23	2203025.5	4.53921209718e-07
3	1924644.72	2202056.5	4.54120954662e-07
4	1921278.39	2206486.9375	4.53209118533e-07
5	1918714.69	2205093.5	4.53495509374e-07
6	1916219.71	2199990.4375	4.54547430277e-07
7	1911705.28	2197265.1875	4.55111201729e-07
8	1909525.8	2195236.3125	4.55531823297e-07
9	1907562.34	2193331.8125	4.55927367807e-07
10	1905602.29	2191492.375	4.56310052185e-07
11	1903869.21	2189910.0	4.56639770584e-07
12	1902190.94	2188359.75	4.56963257527e-07
13	1900558.86	2186840.625	4.57280694609e-07
14	1898962.92	2185347.3125	4.57593168042e-07
15	1897394.26	2183872.75	4.57902137384e-07
16	1895848.44	2182416.0	4.582077844e-07
17	1894321.31	2180972.875	4.58510975291e-07
18	1892812.27	2179546.1875	4.58811107438e-07
19	1891315.2	2178127.3125	4.59109986024e-07
